Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
ICT,Wichita, KS, Wichita Dwight D Eisenhower National (ICT),#REF!,2,FALSE,#REF!,'ICT',1,ICT
LBE,Latrobe, PA, Arnold Palmer Regional (LBE),#REF!,,FALSE,FALSE,'LBE',0,FALSE
LAW,Lawton/Fort Sill, OK, Lawton-Fort Sill Regional (LAW),#REF!,,FALSE,FALSE,'LAW',0,FALSE
LWB,Lewisburg, WV, Greenbrier Valley (LWB),#REF!,,FALSE,FALSE,'LWB',0,FALSE
LWS,Lewiston, ID, Lewiston Nez Perce County (LWS),#REF!,,FALSE,FALSE,'LWS',0,FALSE
IDA,Idaho Falls, ID, Idaho Falls Regional (IDA),#REF!,2,FALSE,#REF!,'IDA',1,IDA
LBL,Liberal, KS, Liberal Mid-America Regional (LBL),#REF!,,FALSE,FALSE,'LBL',0,FALSE
LIH,Lihue, HI, Lihue Airport (LIH),#REF!,,FALSE,FALSE,'LIH',0,FALSE
LNK,Lincoln, NE, Lincoln Airport (LNK),#REF!,,FALSE,FALSE,'LNK',0,FALSE
LIT,Little Rock, AR, Bill and Hillary Clinton Nat Adams Field (LIT),#REF!,,FALSE,FALSE,'LIT',0,FALSE
LGB,Long Beach, CA, Long Beach Airport (LGB),#REF!,,FALSE,FALSE,'LGB',0,FALSE
GGG,Longview, TX, East Texas Regional (GGG),#REF!,,FALSE,FALSE,'GGG',0,FALSE
ILG,Wilmington, DE, New Castle (ILG),#REF!,2,FALSE,#REF!,'ILG',1,ILG
SDF,Louisville, KY, Louisville Muhammad Ali International (SDF),#REF!,,FALSE,FALSE,'SDF',0,FALSE
LBB,Lubbock, TX, Lubbock Preston Smith International (LBB),#REF!,,FALSE,FALSE,'LBB',0,FALSE
LYH,Lynchburg, VA, Lynchburg Regional/Preston Glenn Field (LYH),#REF!,,FALSE,FALSE,'LYH',0,FALSE
MCN,Macon, GA, Middle Georgia Regional (MCN),#REF!,,FALSE,FALSE,'MCN',0,FALSE
IND,Indianapolis, IN, Indianapolis International (IND),#REF!,2,FALSE,#REF!,'IND',1,IND
MMH,Mammoth Lakes, CA, Mammoth Lakes Airport (MMH),#REF!,,FALSE,FALSE,'MMH',0,FALSE
MHT,Manchester, NH, Manchester-Boston Regional (MHT),#REF!,,FALSE,FALSE,'MHT',0,FALSE
MHK,Manhattan/Ft. Riley, KS, Manhattan Regional (MHK),#REF!,,FALSE,FALSE,'MHK',0,FALSE
MTH,Marathon, FL, The Florida Keys Marathon International (MTH),#REF!,,FALSE,FALSE,'MTH',0,FALSE
MQT,Marquette, MI, Sawyer International (MQT),#REF!,,FALSE,FALSE,'MQT',0,FALSE
MVY,Martha&#39;s Vineyard, MA, Martha&#39;s Vineyard Airport (MVY),#REF!,,FALSE,FALSE,'MVY',0,FALSE
MAZ,Mayaguez, PR, Eugenio Maria de Hostos (MAZ),#REF!,,FALSE,FALSE,'MAZ',0,FALSE
MFR,Medford, OR, Rogue Valley International - Medford (MFR),#REF!,,FALSE,FALSE,'MFR',0,FALSE
MLB,Melbourne, FL, Melbourne International (MLB),#REF!,,FALSE,FALSE,'MLB',0,FALSE
MEM,Memphis, TN, Memphis International (MEM),#REF!,,FALSE,FALSE,'MEM',0,FALSE
MEI,Meridian, MS, Key Field (MEI),#REF!,,FALSE,FALSE,'MEI',0,FALSE
JAX,Jacksonville, FL, Jacksonville International (JAX),#REF!,1,#REF!,FALSE,'JAX',1,JAX
MAF,Midland/Odessa, TX, Midland International Air and Space Port (MAF),#REF!,,FALSE,FALSE,'MAF',0,FALSE
MKE,Milwaukee, WI, General Mitchell International (MKE),#REF!,,FALSE,FALSE,'MKE',0,FALSE
JFK,New York, NY, John F. Kennedy International (JFK),#REF!,1,#REF!,FALSE,'JFK',1,JFK
MIB,Minot, ND, Minot AFB (MIB),#REF!,,FALSE,FALSE,'MIB',0,FALSE
MOT,Minot, ND, Minot International (MOT),#REF!,,FALSE,FALSE,'MOT',0,FALSE
MFE,Mission/McAllen/Edinburg, TX, McAllen Miller International (MFE),#REF!,,FALSE,FALSE,'MFE',0,FALSE
